Session,Total_Mentions,NPS_Score,Promoters,Detractors,Passives,Track_Breakdown
"Day 3, Session 3: Capstone Workshop: Developing Your Strategic AI Action plan",2,100.0,2,0,0,"{'EXEC': {'mentions': 2, 'motivations': ['Information Learned', ''], 'nps_scores': [9.0, 10.0], 'promoters': 2, 'detractors': 0, 'passives': 0, 'nps_score': 100.0}}"
"Day 1, Session 3: Data as the Fuel: AI Data Strategy & Governance",6,50.0,3,0,3,"{'EXEC': {'mentions': 6, 'motivations': ['Lack of data experience as an IT PM.', 'Totally new information to me. Other sessions were interesting but not new.', 'Understanding how data works', 'Better understanding AI from leadership perspective..', 'It was interesting to learn about how to use the AI and that the data it gives ur is only data that we’ve trained it on, which is important to be vigilant of. Additionally it was interesting to learn about how data privacy is important when using chats as they are usually logged', 'In order to launch new ideas to vision, I takes strategy.'], 'nps_scores': [10.0, 7.0, 8.0, 10.0, 7.0, 10.0], 'promoters': 3, 'detractors': 0, 'passives': 3, 'nps_score': 50.0}}"
"Day 2, Session 3: Transforming Vision into Action Part 1: Business Impact Framework",3,100.0,3,0,0,"{'EXEC': {'mentions': 3, 'motivations': ['Very pragmatic framework that can be applied repeatedly', 'Hard to choose just one - but I found the applied nature of this session very helpful (including spreadsheet tool)', 'My goals to grow my non-profit and launch other business ideas.'], 'nps_scores': [10.0, 10.0, 10.0], 'promoters': 3, 'detractors': 0, 'passives': 0, 'nps_score': 100.0}}"
"Day 1, Session 1: Demystifying AI: Beyond the Hype",2,100.0,2,0,0,"{'EXEC': {'mentions': 2, 'motivations': ['', 'I liked David’s sessions best'], 'nps_scores': [10.0, 10.0], 'promoters': 2, 'detractors': 0, 'passives': 0, 'nps_score': 100.0}}"
"Day 2, Session 2: Fireside chat with Amanda Crawford",2,50.0,1,0,1,"{'EXEC': {'mentions': 2, 'motivations': ['Raw, authentic, behind the curtain', 'Really enjoyed the real world discussion.'], 'nps_scores': [9.0, 8.0], 'promoters': 1, 'detractors': 0, 'passives': 1, 'nps_score': 50.0}}"
"Day 2, Session 1: Generative AI",2,100.0,2,0,0,"{'EXEC': {'mentions': 2, 'motivations': ['I liked both of David’s sessions the best', 'Can put this to practial use.'], 'nps_scores': [10.0, 10.0], 'promoters': 2, 'detractors': 0, 'passives': 0, 'nps_score': 100.0}}"
"Day 3, Session 2: Navigating the AI Ecosystem: Build, Buy, or Partner",3,66.66666666666666,2,0,1,"{'EXEC': {'mentions': 3, 'motivations': ['I chose this session, because as a student it was exciting to learn about how the current leaders operate business with AI and have to make decisions based on what would least hurt the company the most.', 'Information shared', 'This consideration is part of my entity’s project proposal process.'], 'nps_scores': [7.0, 9.0, 10.0], 'promoters': 2, 'detractors': 0, 'passives': 1, 'nps_score': 66.66666666666666}}"
"Day 3, Session1: Measuring AI Value: Beyond Traditional ROI & Ethical AI: Principles, Risks & Regulatory Compliance",6,50.0,3,0,3,"{'EXEC': {'mentions': 6, 'motivations': ['The maturity framework, governance, and the considerations of deploying at scale were all very helpful.', 'Another good framework to assess where companies are in its AI joirney', 'Very useful information in this presentation, good to see industry use cases', 'ROI is huge', 'Understanding data governance and ethical boundaries', 'Value is key to my business and my clients'], 'nps_scores': [8.0, 10.0, 10.0, 7.0, 8.0, 10.0], 'promoters': 3, 'detractors': 0, 'passives': 3, 'nps_score': 50.0}}"
"Day 1, Session 2: AI in Action: Industry & Functional use Cases",1,100.0,1,0,0,"{'EXEC': {'mentions': 1, 'motivations': ['The use cases are critical to my work'], 'nps_scores': [10.0], 'promoters': 1, 'detractors': 0, 'passives': 0, 'nps_score': 100.0}}"
"Day 3, Session 1: AI in the Workplace: What’s Changing? Discussion",7,71.42857142857143,5,0,2,"{'PROD': {'mentions': 7, 'motivations': ['Deep connection with presenters!', 'I thoroufhly enjoyed the panelists discussions on ethical ai use and the emphasis on our humanity.', 'Engaging, informative, energizing, and motivating talk', 'The positivity that was presented at the panel and the reassurance that humanity will still be an integral part of AI moving forward.', 'The panelists', 'Highlighting the human in AI', 'The authentic and human first conversations'], 'nps_scores': [10.0, 8.0, 10.0, 10.0, 10.0, 10.0, 8.0], 'promoters': 5, 'detractors': 0, 'passives': 2, 'nps_score': 71.42857142857143}}"
"Day 1, Session 1: AI 101 Without the Tech Talk",4,50.0,3,1,0,"{'PROD': {'mentions': 4, 'motivations': ['Every conversation I had with everyone who had goals', 'the stage was set very well in the opening session. I was inspire', 'Feel of ai landscape', ''], 'nps_scores': [10.0, 10.0, 10.0, 4.0], 'promoters': 3, 'detractors': 1, 'passives': 0, 'nps_score': 50.0}}"
"Day 1, Session 4: AI for Creativity & Marketing",8,37.5,4,1,3,"{'PROD': {'mentions': 8, 'motivations': ['I plan on using ai for branding and marketing projects so the session on creativity was just what I needed', 'Creative use of AI tools', 'The openness of what AI tools he’s using and how he’s using them', 'It was super informative! I was not expecting so much information regarding ai video and image content.', 'The speaker was so nice and effective', 'It was an engaging session, that allowed me to think outside of the box in a more creative fashion.', 'I volunteer with a non profit so I would love more insight in marketing', 'The speaker was good and provided a lot of helpful resources, as well as demoing his own work'], 'nps_scores': [7.0, 10.0, 8.0, 10.0, 7.0, 10.0, 10.0, 2.0], 'promoters': 4, 'detractors': 1, 'passives': 3, 'nps_score': 37.5}}"
"Day 2, Session 4: Staying Safe with AI: Privacy, Trust & Limits",4,50.0,2,0,2,"{'PROD': {'mentions': 4, 'motivations': ['Concerns about privacy are my biggest obstacle', 'Talked about the importance of Agents', 'It is important for me to be mindful of privacy and security concerns when it comes to ai usage', 'Tangible information regarding safety is really important and this session highlighted that.'], 'nps_scores': [10.0, 7.0, 7.0, 10.0], 'promoters': 2, 'detractors': 0, 'passives': 2, 'nps_score': 50.0}}"
"Day 3, Session 2&3: Showcase Studio: Build Your “AI in Action” project",3,33.33333333333333,2,1,0,"{'PROD': {'mentions': 3, 'motivations': ['Getting familuar with ai', 'Actual application of knowledge', 'Got to Apply our knowledge in a practical application'], 'nps_scores': [10.0, 4.0, 10.0], 'promoters': 2, 'detractors': 1, 'passives': 0, 'nps_score': 33.33333333333333}}"
"Day 1, Session 3: Apply It: AI in Action - Use Tools for Everyday Goals",2,0.0,1,1,0,"{'PROD': {'mentions': 2, 'motivations': [""The content of the presentation. Steve Mudd's work is amazing"", 'It was one of the only sessions that had actionable tools and taught us in a step-by-step way how to use them'], 'nps_scores': [9.0, 2.0], 'promoters': 1, 'detractors': 1, 'passives': 0, 'nps_score': 0.0}}"
"Day 2, Session 1: Lead with AI: Save Time with Workflows",4,75.0,3,0,1,"{'PROD': {'mentions': 4, 'motivations': ['I want to be able to use AI as an assistant, I really enjoyed all the topics.', '', 'Everything actually', 'I learned a lot about how I can leverage AI in my life'], 'nps_scores': [10.0, 8.0, 10.0, 10.0], 'promoters': 3, 'detractors': 0, 'passives': 1, 'nps_score': 75.0}}"
"Day 1, Session 3: Integrating LLM with application using API, tools and MCP",3,100.0,3,0,0,"{'DEV': {'mentions': 3, 'motivations': ['Dansih was amazing ad his notebook was very well organised and well explained.', 'It’s the opening of everything so it gave me more of an understanding of LLM and tools', 'This will improve my current product'], 'nps_scores': [10.0, 10.0, 10.0], 'promoters': 3, 'detractors': 0, 'passives': 0, 'nps_score': 100.0}}"
"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",15,60.0,9,0,6,"{'DEV': {'mentions': 15, 'motivations': ['Ability to applyLearnings right away', 'Its what i find most useful.', 'Learning something totally new to me as I had at least some experience with other topics', 'Being able to automate parts of software development', 'I am very more hands on and knowing the why on what I’m using and why is this best for me to use.', '', 'I will improve my productivity at work', 'All of the sessions were great. It was nice to see a variety of expertise level from novice to advanced.', '', 'Clearly most of the questions on implementing everything learned so far', 'The information was clear and easy to follow and understand. And the instructor was great at answering questions.', 'It was super informative and interesting. I learned a lot in a short period if time and it made me want to explore the topic further', 'Fascinating lab', 'Real world agent development', 'Did not attend'], 'nps_scores': [7.0, 8.0, 8.0, 10.0, 10.0, 8.0, 10.0, 8.0, 10.0, 10.0, 10.0, 10.0, 8.0, 10.0, 10.0], 'promoters': 9, 'detractors': 0, 'passives': 6, 'nps_score': 60.0}}"
"Day 2, Session 4: N8n / cybersecurity framework / LLM guard",5,40.0,3,1,1,"{'DEV': {'mentions': 5, 'motivations': ['Interesting in cybersec', 'Setting boundaries for AI', 'Real production experience, very challenging and insightful', 'Understanding security concerns about llms', 'I think it’s very important to be ethical and having discernment while using these tools.'], 'nps_scores': [8.0, 10.0, 10.0, 10.0, 6.0], 'promoters': 3, 'detractors': 1, 'passives': 1, 'nps_score': 40.0}}"
