Session,Keyword,Mentions
"Day 1, Session 3: Data as the Fuel: AI Data Strategy & Governance",data,5
"Day 1, Session 3: Data as the Fuel: AI Data Strategy & Governance",ai,2
"Day 1, Session 3: Data as the Fuel: AI Data Strategy & Governance",experience,1
"Day 1, Session 3: Data as the Fuel: AI Data Strategy & Governance",privacy,1
"Day 1, Session 3: Data as the Fuel: AI Data Strategy & Governance",strategy,1
"Day 2, Session 3: Transforming Vision into Action Part 1: Business Impact Framework",framework,1
"Day 2, Session 3: Transforming Vision into Action Part 1: Business Impact Framework",tool,1
"Day 2, Session 3: Transforming Vision into Action Part 1: Business Impact Framework",business,1
"Day 3, Session 2: Navigating the AI Ecosystem: Build, Buy, or Partner",business,1
"Day 3, Session 2: Navigating the AI Ecosystem: Build, Buy, or Partner",ai,1
"Day 3, Session 2: Navigating the AI Ecosystem: Build, Buy, or Partner",project,1
"Day 3, Session1: Measuring AI Value: Beyond Traditional ROI & Ethical AI: Principles, Risks & Regulatory Compliance",framework,2
"Day 3, Session1: Measuring AI Value: Beyond Traditional ROI & Ethical AI: Principles, Risks & Regulatory Compliance",governance,2
"Day 3, Session1: Measuring AI Value: Beyond Traditional ROI & Ethical AI: Principles, Risks & Regulatory Compliance",ai,1
"Day 3, Session1: Measuring AI Value: Beyond Traditional ROI & Ethical AI: Principles, Risks & Regulatory Compliance",useful,1
"Day 3, Session1: Measuring AI Value: Beyond Traditional ROI & Ethical AI: Principles, Risks & Regulatory Compliance",presentation,1
"Day 3, Session 1: AI in the Workplace: What’s Changing? Discussion",ai,3
"Day 3, Session 1: AI in the Workplace: What’s Changing? Discussion",engaging,1
"Day 3, Session 1: AI in the Workplace: What’s Changing? Discussion",informative,1
"Day 1, Session 1: AI 101 Without the Tech Talk",ai,1
"Day 1, Session 4: AI for Creativity & Marketing",ai,4
"Day 1, Session 4: AI for Creativity & Marketing",marketing,2
"Day 1, Session 4: AI for Creativity & Marketing",creative,2
"Day 1, Session 4: AI for Creativity & Marketing",tools,2
"Day 1, Session 4: AI for Creativity & Marketing",creativity,1
"Day 2, Session 4: Staying Safe with AI: Privacy, Trust & Limits",privacy,2
"Day 2, Session 4: Staying Safe with AI: Privacy, Trust & Limits",security,1
"Day 2, Session 4: Staying Safe with AI: Privacy, Trust & Limits",ai,1
"Day 3, Session 2&3: Showcase Studio: Build Your “AI in Action” project",application,2
"Day 3, Session 2&3: Showcase Studio: Build Your “AI in Action” project",knowledge,2
"Day 3, Session 2&3: Showcase Studio: Build Your “AI in Action” project",ai,1
"Day 3, Session 2&3: Showcase Studio: Build Your “AI in Action” project",practical,1
"Day 2, Session 1: Lead with AI: Save Time with Workflows",ai,2
"Day 1, Session 3: Integrating LLM with application using API, tools and MCP",llm,1
"Day 1, Session 3: Integrating LLM with application using API, tools and MCP",tools,1
"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",development,2
"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",useful,1
"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",learning,1
"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",experience,1
"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",hands on,1
"Day 2, Session 4: N8n / cybersecurity framework / LLM guard",ai,1
"Day 2, Session 4: N8n / cybersecurity framework / LLM guard",experience,1
"Day 2, Session 4: N8n / cybersecurity framework / LLM guard",insightful,1
"Day 2, Session 4: N8n / cybersecurity framework / LLM guard",security,1
"Day 2, Session 4: N8n / cybersecurity framework / LLM guard",tools,1
"Day 2, Session 3: Building RAG system with local LLM",hands on,3
"Day 2, Session 3: Building RAG system with local LLM",ai,2
"Day 2, Session 3: Building RAG system with local LLM",llm,2
"Day 2, Session 3: Building RAG system with local LLM",development,1
"Day 2, Session 3: Building RAG system with local LLM",project,1
"Day 2, Session 2: Agentic AI from Notebook to Production",hands-on,1
"Day 2, Session 2: Agentic AI from Notebook to Production",interactive,1
"Day 2, Session 2: Agentic AI from Notebook to Production",practical,1
"Day 3, Session 1: Building applications using coding agents",development,2
"Day 3, Session 1: Building applications using coding agents",real world,1
"Day 3, Session 1: Building applications using coding agents",ai,1
"Day 1, Session 2: Try This: AI Tools for Everyday Tasks & Productivity",ai,1
"Day 1, Session 2: Try This: AI Tools for Everyday Tasks & Productivity",tools,1
