ID,TRACK,What session did you enjoy the most?,What motivated your choice?,What is the second session you enjoyed the most?,What motivated your choice?.1,Are you better prepared to lead an AI transformation?,What was the most valuable part of the program?,What should we improve?,On a scale from 0 to 10. How likely are you to recommend this program to a friend or colleague?,Anything else you want to share with us?
1,EXEC,"Day 3, Session 3: Capstone Workshop: Developing Your Strategic AI Action plan",Information Learned,"Day 3, Session 2: Navigating the AI Ecosystem: Build, Buy, or Partner",Information shared,Yes,The bold conversations,Longer sessions with hands on experience and sharing with cohort,9,Great job!
2,EXEC,"Day 1, Session 3: Data as the Fuel: AI Data Strategy & Governance",Lack of data experience as an IT PM.,"Day 3, Session 2: Navigating the AI Ecosystem: Build, Buy, or Partner",This consideration is part of my entity’s project proposal process.,Yes,The speakers were outstanding. I honestly valued many if not all of the sessions.,I would love to get ALL slide decks to see what I missed from the other tracks.,10 (Extremely Likely),Thank you for hosting this.
3,EXEC,"Day 2, Session 3: Transforming Vision into Action Part 1: Business Impact Framework",Very pragmatic framework that can be applied repeatedly,"Day 3, Session1: Measuring AI Value: Beyond Traditional ROI & Ethical AI: Principles, Risks & Regulatory Compliance",Another good framework to assess where companies are in its AI joirney,Yes,Pragmatic advice,"For execs would be great to see a high level technical session on setting up an infrastructure, eg vector DB, MCP servers, erc",10 (Extremely Likely),More fruit?
4,EXEC,"Day 1, Session 1: Demystifying AI: Beyond the Hype",,"Day 3, Session 3: Capstone Workshop: Developing Your Strategic AI Action plan",,Yes,The different perspectives and different industries of people who decided to attend the program,Keep everything the same,10 (Extremely Likely),
5,EXEC,"Day 2, Session 2: Fireside chat with Amanda Crawford","Raw, authentic, behind the curtain","Day 2, Session 4: Transforming Vision into Action Part 2: Framework Application",Love frameworks,Yes,Attending & facilitating,More case studies,9,Let's do this again. I'll play
6,EXEC,"Day 2, Session 1: Generative AI",I liked both of David’s sessions the best,"Day 1, Session 1: Demystifying AI: Beyond the Hype",I liked David’s sessions best,Yes,Lots of discussion. The open ended classroom discussions were great but the small group activities sucked,Please have some gluten free food,10 (Extremely Likely),I’m so glad you had good representation from women
7,EXEC,"Day 2, Session 3: Transforming Vision into Action Part 1: Business Impact Framework",Hard to choose just one - but I found the applied nature of this session very helpful (including spreadsheet tool),"Day 3, Session1: Measuring AI Value: Beyond Traditional ROI & Ethical AI: Principles, Risks & Regulatory Compliance","Very useful information in this presentation, good to see industry use cases",Yes,Peer- networking and learning different perspectives,Social get togethers! A program outline at the start.,10 (Extremely Likely),
8,EXEC,"Day 1, Session 3: Data as the Fuel: AI Data Strategy & Governance",Totally new information to me. Other sessions were interesting but not new.,"Day 3, Session1: Measuring AI Value: Beyond Traditional ROI & Ethical AI: Principles, Risks & Regulatory Compliance",ROI is huge,Yes,Meeting new people for collaboration,A published schedule,7,I’d love to present next time. A lot of change management conversations and connection to the business were missing in depth of presentations. I can support that.
9,EXEC,"Day 1, Session 3: Data as the Fuel: AI Data Strategy & Governance",Understanding how data works,"Day 3, Session1: Measuring AI Value: Beyond Traditional ROI & Ethical AI: Principles, Risks & Regulatory Compliance",Understanding data governance and ethical boundaries,Yes,Interactive portion of each session,More interactive parts. Explaining concepts through interactive exercises,8,
10,EXEC,"Day 3, Session 2: Navigating the AI Ecosystem: Build, Buy, or Partner","I chose this session, because as a student it was exciting to learn about how the current leaders operate business with AI and have to make decisions based on what would least hurt the company the most.","Day 1, Session 3: Data as the Fuel: AI Data Strategy & Governance","It was interesting to learn about how to use the AI and that the data it gives ur is only data that we’ve trained it on, which is important to be vigilant of. Additionally it was interesting to learn about how data privacy is important when using chats as they are usually logged",Yes,I enjoyed the discussion at the end of day 3 where everyone got to soak their mind and throw out questions. It was great to see how everyone has different use cases and perspectives on AI.,"Perhaps the content, it felt more discussion based rather than learning something, although I still did learn it would have been valuable to have attained some greater insights.",7,
