Session,Review_Rank,Motivation,Length
"Day 3, Session 3: Capstone Workshop: Developing Your Strategic AI Action plan",1,Information Learned,19
"Day 1, Session 3: Data as the Fuel: AI Data Strategy & Governance",1,"It was interesting to learn about how to use the AI and that the data it gives ur is only data that we’ve trained it on, which is important to be vigilant of. Additionally it was interesting to learn about how data privacy is important when using chats as they are usually logged",279
"Day 1, Session 3: Data as the Fuel: AI Data Strategy & Governance",2,Totally new information to me. Other sessions were interesting but not new.,75
"Day 1, Session 3: Data as the Fuel: AI Data Strategy & Governance",3,"In order to launch new ideas to vision, I takes strategy.",57
"Day 2, Session 3: Transforming Vision into Action Part 1: Business Impact Framework",1,Hard to choose just one - but I found the applied nature of this session very helpful (including spreadsheet tool),114
"Day 2, Session 3: Transforming Vision into Action Part 1: Business Impact Framework",2,My goals to grow my non-profit and launch other business ideas.,63
"Day 2, Session 3: Transforming Vision into Action Part 1: Business Impact Framework",3,Very pragmatic framework that can be applied repeatedly,55
"Day 1, Session 1: Demystifying AI: Beyond the Hype",1,I liked David’s sessions best,29
"Day 2, Session 2: Fireside chat with Amanda Crawford",1,Really enjoyed the real world discussion.,41
"Day 2, Session 1: Generative AI",1,I liked both of David’s sessions the best,41
"Day 3, Session 2: Navigating the AI Ecosystem: Build, Buy, or Partner",1,"I chose this session, because as a student it was exciting to learn about how the current leaders operate business with AI and have to make decisions based on what would least hurt the company the most.",202
"Day 3, Session 2: Navigating the AI Ecosystem: Build, Buy, or Partner",2,This consideration is part of my entity’s project proposal process.,67
"Day 3, Session 2: Navigating the AI Ecosystem: Build, Buy, or Partner",3,Information shared,18
"Day 3, Session1: Measuring AI Value: Beyond Traditional ROI & Ethical AI: Principles, Risks & Regulatory Compliance",1,"The maturity framework, governance, and the considerations of deploying at scale were all very helpful.",103
"Day 3, Session1: Measuring AI Value: Beyond Traditional ROI & Ethical AI: Principles, Risks & Regulatory Compliance",2,"Very useful information in this presentation, good to see industry use cases",76
"Day 3, Session1: Measuring AI Value: Beyond Traditional ROI & Ethical AI: Principles, Risks & Regulatory Compliance",3,Another good framework to assess where companies are in its AI joirney,70
"Day 1, Session 2: AI in Action: Industry & Functional use Cases",1,The use cases are critical to my work,37
"Day 3, Session 1: AI in the Workplace: What’s Changing? Discussion",1,The positivity that was presented at the panel and the reassurance that humanity will still be an integral part of AI moving forward.,133
"Day 3, Session 1: AI in the Workplace: What’s Changing? Discussion",2,I thoroufhly enjoyed the panelists discussions on ethical ai use and the emphasis on our humanity.,98
"Day 3, Session 1: AI in the Workplace: What’s Changing? Discussion",3,"Engaging, informative, energizing, and motivating talk",54
